日期,时间,组别,主队,客队,主队比分,客队比分,比赛地点,阶段
2026-06-12,03:00,A组,墨西哥,南非,2,0,墨西哥城阿兹特克体育场,小组赛
2026-06-12,10:00,A组,韩国,捷克,2,1,瓜达拉哈拉阿克伦体育场,小组赛
2026-06-13,03:00,B组,加拿大,波黑,1,1,多伦多BMO球场,小组赛
2026-06-13,09:00,D组,美国,巴拉圭,4,1,洛杉矶SoFi体育场,小组赛
2026-06-14,03:00,B组,卡塔尔,瑞士,1,1,旧金山湾区李维斯体育场,小组赛
2026-06-14,06:00,C组,巴西,摩洛哥,1,1,纽约大都会人寿体育场,小组赛
2026-06-14,09:00,C组,海地,苏格兰,0,1,波士顿吉列体育场,小组赛
2026-06-14,12:00,D组,澳大利亚,土耳其,2,0,温哥华BC Place球场,小组赛
2026-06-15,01:00,E组,德国,库拉索,,,休斯敦NRG体育场,小组赛
2026-06-15,04:00,F组,荷兰,日本,,,达拉斯AT&T体育场,小组赛
2026-06-15,07:00,E组,科特迪瓦,厄瓜多尔,,,费城林肯金融球场,小组赛
2026-06-15,10:00,F组,瑞典,突尼斯,,,蒙特雷BBVA球场,小组赛
2026-06-16,00:00,H组,西班牙,佛得角,,,亚特兰大梅赛德斯-奔驰体育场,小组赛
2026-06-16,03:00,G组,比利时,埃及,,,西雅图流明球场,小组赛
2026-06-16,06:00,H组,沙特阿拉伯,乌拉圭,,,迈阿密硬石体育场,小组赛
2026-06-16,09:00,G组,伊朗,新西兰,,,洛杉矶玫瑰碗球场,小组赛
2026-06-17,03:00,I组,法国,塞内加尔,,,纽约大都会人寿体育场,小组赛
2026-06-17,06:00,I组,伊拉克,挪威,,,波士顿吉列体育场,小组赛
2026-06-17,09:00,J组,阿根廷,阿尔及利亚,,,堪萨斯城GEHA球场,小组赛
2026-06-17,12:00,J组,奥地利,约旦,,,旧金山湾区李维斯体育场,小组赛
2026-06-18,01:00,K组,葡萄牙,刚果(金),,,休斯敦NRG体育场,小组赛
2026-06-18,04:00,L组,英格兰,克罗地亚,,,达拉斯AT&T体育场,小组赛
2026-06-18,07:00,L组,加纳,巴拿马,,,多伦多BMO球场,小组赛
2026-06-18,10:00,K组,乌兹别克斯坦,哥伦比亚,,,墨西哥城阿兹特克体育场,小组赛
2026-06-19,00:00,A组,捷克,南非,,,亚特兰大梅赛德斯-奔驰体育场,小组赛
2026-06-19,03:00,B组,瑞士,波黑,,,洛杉矶玫瑰碗球场,小组赛
2026-06-19,06:00,B组,加拿大,卡塔尔,,,温哥华BC Place球场,小组赛
2026-06-19,09:00,A组,墨西哥,韩国,,,瓜达拉哈拉阿克伦体育场,小组赛
2026-06-20,03:00,D组,美国,澳大利亚,,,西雅图流明球场,小组赛
2026-06-20,06:00,C组,苏格兰,摩洛哥,,,波士顿吉列体育场,小组赛
2026-06-20,08:30,C组,巴西,海地,,,费城林肯金融球场,小组赛
2026-06-20,11:00,D组,土耳其,巴拉圭,,,旧金山湾区李维斯体育场,小组赛
2026-06-21,01:00,F组,荷兰,瑞典,,,休斯敦NRG体育场,小组赛
2026-06-21,04:00,E组,德国,科特迪瓦,,,多伦多BMO球场,小组赛
2026-06-21,08:00,E组,厄瓜多尔,库拉索,,,堪萨斯城GEHA球场,小组赛
2026-06-21,12:00,F组,突尼斯,日本,,,蒙特雷BBVA球场,小组赛
2026-06-22,00:00,H组,西班牙,沙特阿拉伯,,,亚特兰大梅赛德斯-奔驰体育场,小组赛
2026-06-22,03:00,G组,比利时,伊朗,,,洛杉矶玫瑰碗球场,小组赛
2026-06-22,06:00,H组,乌拉圭,佛得角,,,迈阿密硬石体育场,小组赛
2026-06-22,09:00,G组,新西兰,埃及,,,温哥华BC Place球场,小组赛
2026-06-23,01:00,J组,阿根廷,奥地利,,,达拉斯AT&T体育场,小组赛
2026-06-23,05:00,I组,法国,伊拉克,,,费城林肯金融球场,小组赛
2026-06-23,08:00,I组,挪威,塞内加尔,,,纽约大都会人寿体育场,小组赛
2026-06-23,11:00,J组,约旦,阿尔及利亚,,,旧金山湾区李维斯体育场,小组赛
2026-06-24,01:00,K组,葡萄牙,乌兹别克斯坦,,,休斯敦NRG体育场,小组赛
2026-06-24,04:00,L组,英格兰,加纳,,,波士顿吉列体育场,小组赛
2026-06-24,07:00,L组,巴拿马,克罗地亚,,,多伦多BMO球场,小组赛
2026-06-24,10:00,K组,哥伦比亚,刚果(金),,,瓜达拉哈拉阿克伦体育场,小组赛
2026-06-25,03:00,B组,瑞士,加拿大,,,温哥华BC Place球场,小组赛
2026-06-25,03:00,B组,波黑,卡塔尔,,,西雅图流明球场,小组赛
2026-06-25,06:00,C组,苏格兰,巴西,,,迈阿密硬石体育场,小组赛
2026-06-25,06:00,C组,摩洛哥,海地,,,亚特兰大梅赛德斯-奔驰体育场,小组赛
2026-06-25,09:00,A组,捷克,墨西哥,,,墨西哥城阿兹特克体育场,小组赛
2026-06-25,09:00,A组,南非,韩国,,,蒙特雷BBVA球场,小组赛
2026-06-26,04:00,E组,厄瓜多尔,德国,,,纽约大都会人寿体育场,小组赛
2026-06-26,04:00,E组,库拉索,科特迪瓦,,,费城林肯金融球场,小组赛
2026-06-26,07:00,F组,日本,瑞典,,,达拉斯AT&T体育场,小组赛
2026-06-26,07:00,F组,突尼斯,荷兰,,,堪萨斯城GEHA球场,小组赛
2026-06-26,10:00,D组,土耳其,美国,,,洛杉矶玫瑰碗球场,小组赛
2026-06-26,10:00,D组,巴拉圭,澳大利亚,,,旧金山湾区李维斯体育场,小组赛
2026-06-27,03:00,I组,挪威,法国,,,波士顿吉列体育场,小组赛
2026-06-27,03:00,I组,塞内加尔,伊拉克,,,多伦多BMO球场,小组赛
2026-06-27,08:00,H组,佛得角,沙特阿拉伯,,,休斯敦NRG体育场,小组赛
2026-06-27,08:00,H组,乌拉圭,西班牙,,,瓜达拉哈拉阿克伦体育场,小组赛
2026-06-27,11:00,G组,埃及,伊朗,,,西雅图流明球场,小组赛
2026-06-27,11:00,G组,新西兰,比利时,,,温哥华BC Place球场,小组赛
2026-06-28,05:00,L组,巴拿马,英格兰,,,纽约大都会人寿体育场,小组赛
2026-06-28,05:00,L组,克罗地亚,加纳,,,费城林肯金融球场,小组赛
2026-06-28,07:30,K组,哥伦比亚,葡萄牙,,,迈阿密硬石体育场,小组赛
2026-06-28,07:30,K组,刚果(金),乌兹别克斯坦,,,亚特兰大梅赛德斯-奔驰体育场,小组赛
2026-06-28,10:00,J组,阿尔及利亚,奥地利,,,堪萨斯城GEHA球场,小组赛
2026-06-28,10:00,J组,约旦,阿根廷,,,达拉斯AT&T体育场,小组赛
2026-06-29,03:00,1/16决赛,美国,B2,,,洛杉矶SoFi体育场,1/16决赛
2026-06-30,01:00,1/16决赛,C1,F2,,,休斯敦NRG体育场,1/16决赛
2026-06-30,04:30,1/16决赛,E1,第3名待定,,,波士顿吉列体育场,1/16决赛
2026-06-30,09:00,1/16决赛,F1,C2,,,蒙特雷BBVA球场,1/16决赛
2026-07-01,01:00,1/16决赛,E2,I2,,,达拉斯AT&T体育场,1/16决赛
2026-07-01,05:00,1/16决赛,I1,第3名待定,,,纽约大都会人寿体育场,1/16决赛
2026-07-01,09:00,1/16决赛,A1,第3名待定,,,墨西哥城阿兹特克体育场,1/16决赛
2026-07-02,00:00,1/16决赛,L1,第3名待定,,,亚特兰大梅赛德斯-奔驰体育场,1/16决赛
2026-07-02,04:00,1/16决赛,G1,第3名待定,,,西雅图流明球场,1/16决赛
2026-07-02,08:00,1/16决赛,D1,第3名待定,,,旧金山湾区李维斯体育场,1/16决赛
2026-07-03,03:00,1/16决赛,H1,J2,,,洛杉矶玫瑰碗球场,1/16决赛
2026-07-03,07:00,1/16决赛,K2,L2,,,多伦多BMO球场,1/16决赛
2026-07-03,11:00,1/16决赛,B1,第3名待定,,,温哥华BC Place球场,1/16决赛
2026-07-04,02:00,1/16决赛,D2,G2,,,达拉斯AT&T体育场,1/16决赛
2026-07-04,06:00,1/16决赛,J1,H2,,,迈阿密硬石体育场,1/16决赛
2026-07-04,09:30,1/16决赛,K1,第3名待定,,,堪萨斯城GEHA球场,1/16决赛
2026-07-05,01:00,1/8决赛,73胜者,75胜者,,,休斯敦NRG体育场,1/8决赛
2026-07-05,05:00,1/8决赛,74胜者,77胜者,,,费城林肯金融球场,1/8决赛
2026-07-06,04:00,1/8决赛,76胜者,78胜者,,,纽约大都会人寿体育场,1/8决赛
2026-07-06,08:00,1/8决赛,79胜者,80胜者,,,墨西哥城阿兹特克体育场,1/8决赛
2026-07-07,03:00,1/8决赛,83胜者,84胜者,,,达拉斯AT&T体育场,1/8决赛
2026-07-07,08:00,1/8决赛,81胜者,82胜者,,,西雅图流明球场,1/8决赛
2026-07-08,00:00,1/8决赛,86胜者,88胜者,,,亚特兰大梅赛德斯-奔驰体育场,1/8决赛
2026-07-08,04:00,1/8决赛,85胜者,87胜者,,,温哥华BC Place球场,1/8决赛
2026-07-10,04:00,1/4决赛,89胜者,90胜者,,,波士顿吉列体育场,1/4决赛
2026-07-11,03:00,1/4决赛,93胜者,94胜者,,,洛杉矶SoFi体育场,1/4决赛
2026-07-12,05:00,1/4决赛,91胜者,92胜者,,,迈阿密硬石体育场,1/4决赛
2026-07-12,09:00,1/4决赛,95胜者,96胜者,,,堪萨斯城GEHA球场,1/4决赛
2026-07-15,03:00,半决赛,97胜者,98胜者,,,达拉斯AT&T体育场,半决赛
2026-07-16,03:00,半决赛,99胜者,100胜者,,,亚特兰大梅赛德斯-奔驰体育场,半决赛
2026-07-19,05:00,季军赛,101负者,102负者,,,迈阿密硬石体育场,季军赛
2026-07-20,03:00,决赛,101胜者,102胜者,,,纽约大都会人寿体育场,决赛